                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                  1.386,                  1.153,                 1.0973,                0.35129,                0.65044,                0.30843,                0.23712,                0.87323,                  1.159,                0.89779,              0.0011238,              0.0011238,              0.0011238
                    104,                 1.3646,                   1.16,                 1.1094,                0.39342,                0.68198,                0.34634,                0.26343,                0.89266,                 1.0627,                0.89045,              0.0011225,              0.0011225,              0.0011225
                    105,                 1.3602,                 1.1439,                 1.0989,                0.38557,                0.68837,                0.34609,                0.26893,                0.80777,                 1.0694,                0.89855,              0.0011213,              0.0011213,              0.0011213
                    106,                 1.3687,                 1.1209,                  1.089,                 0.3732,                  0.671,                0.32073,                0.25727,                0.78546,                 1.0718,                0.88351,              0.0011201,              0.0011201,              0.0011201
                    107,                 1.3904,                 1.1604,                 1.0975,                0.40142,                0.69296,                0.35151,                0.27564,                0.82045,                 1.0793,                0.88763,              0.0011188,              0.0011188,              0.0011188
                    108,                 1.3747,                 1.1238,                  1.092,                0.41476,                0.70754,                0.36409,                0.27716,                0.81261,                 1.0374,                0.86966,              0.0011176,              0.0011176,              0.0011176
                    109,                 1.3516,                 1.1555,                 1.0964,                0.39448,                0.67588,                0.35541,                0.28408,                0.79961,                 1.0384,                 0.8711,              0.0011164,              0.0011164,              0.0011164
                    110,                 1.3713,                 1.1077,                 1.0798,                0.37526,                0.66143,                0.34273,                0.25993,                0.88144,                 1.0533,                0.88437,              0.0011151,              0.0011151,              0.0011151
                    111,                 1.3478,                 1.1042,                 1.0799,                0.37901,                0.66758,                0.34558,                0.27016,                0.81338,                 1.0414,                0.89251,              0.0011139,              0.0011139,              0.0011139
                    112,                 1.3346,                 1.1032,                 1.0791,                0.35398,                0.63992,                0.31243,                0.24072,                0.80478,                 1.0971,                0.87866,              0.0011126,              0.0011126,              0.0011126
                    113,                 1.3412,                 1.1149,                 1.0941,                0.37641,                0.65993,                0.32274,                0.25652,                 0.7364,                 1.0805,                0.86131,              0.0011114,              0.0011114,              0.0011114
                    114,                 1.3612,                 1.0924,                 1.0895,                0.36651,                0.66474,                0.33129,                0.26574,                0.76707,                 1.0714,                 0.8718,              0.0011102,              0.0011102,              0.0011102
                    115,                 1.3581,                 1.1248,                 1.0856,                0.35806,                0.64892,                0.32359,                0.25674,                0.79665,                 1.0838,                0.88929,              0.0011089,              0.0011089,              0.0011089
                    116,                 1.3819,                 1.1249,                 1.0943,                0.37143,                 0.6654,                0.34446,                 0.2705,                0.83491,                 1.0957,                0.87739,              0.0011077,              0.0011077,              0.0011077
                    117,                 1.3318,                 1.1018,                 1.0805,                0.39276,                0.66034,                 0.3539,                0.27771,                0.83384,                 1.0724,                 0.8714,              0.0011065,              0.0011065,              0.0011065
                    118,                 1.3115,                 1.1052,                 1.0839,                0.38774,                0.66769,                0.34052,                0.26123,                0.85367,                 1.0291,                 0.8782,              0.0011052,              0.0011052,              0.0011052
                    119,                 1.3068,                 1.0808,                 1.0705,                0.38025,                0.65753,                0.32914,                0.25819,                0.79814,                 1.0194,                0.88742,               0.001104,               0.001104,               0.001104
                    120,                 1.3532,                 1.1116,                 1.0889,                 0.3817,                0.69097,                0.34073,                0.26332,                0.79446,                 1.0921,                0.87926,              0.0011027,              0.0011027,              0.0011027
                    121,                 1.3084,                 1.0813,                 1.0664,                0.40006,                0.68753,                0.35471,                0.27615,                0.75067,                 1.0301,                0.87584,              0.0011015,              0.0011015,              0.0011015
                    122,                 1.3378,                 1.0931,                 1.0771,                0.37011,                0.65399,                0.32297,                0.24889,                0.78681,                  1.056,                0.89269,              0.0011003,              0.0011003,              0.0011003
                    123,                 1.3286,                 1.0756,                  1.076,                0.34961,                0.63266,                0.30828,                0.24399,                0.81941,                 1.0459,                0.87777,               0.001099,               0.001099,               0.001099
